,Hotel Name,Review
25,Sumedha Premium Greater Kailash,Excellent hotel. Enjoyed the stay. Shirim was very helpfull and kind. Ambience was very nice. I will refer this hotel for business stay. Once again like to mention Shirish's name. Thanks for the service.
26,Sumedha Premium Greater Kailash,It's really a fantastic experience with Fabhotels. Tha room were so clean and peaceful. also the food they served at the time of breakfast is really awesome. Thanks a lot Manpreet for all your support ?? and thanks a lot for all of you. Hope will visit again soon.
27,Sumedha Premium Greater Kailash,"Excellent service by Mr.Aarpan and Mr.Rohit ,Very Friendly , kind staffs. Really Fabhotels lucky have Sach good staffs ..keep it up your hospitality...my next stay in Delhi will be in same hotel...thanks for your kind services."
28,Sumedha Premium Greater Kailash,"Decent stay, friendly staff, nice ambience. Simplified services and booking. Staff Mani and Them have provided great service. Eco friendly hotel. World mark shopping just nearby."
29,Sumedha Premium Greater Kailash,Location Was good. I came here for breakfast everything was arranged properly and kept in a very tidy manner. Food was excellent in taste specially i liked indian. All staffs were very polite and well mannered .
30,Hilton Garden Inn New Delhi Saket,"The Hilton Garden Inn New Delhi/Saket has everything you need for a hotel with prime location in Delhi. The rooms were clean, the staff was super nice and I can never complain about a complimentary breakfast. The only thing that caught us off guard a little bit is that there is no direct entrance to the mall through the hotel. You have to walk outside and around the building for about a minute or so to get to the entrance of the mall. Other than that I highly recommend staying at the Hilton Garden Inn New Delhi/Saket. You won't be disappointed."
31,Hilton Garden Inn New Delhi Saket,"Very good place to live. Rooms are very cozy and place is clean. Room service is fast and staffs are very nice, friendly and experienced. Last minute needs and services are always welcomed by them. Location is perfect, easy to find and located near malls like select City walk. Atmosphere and environment is very friendly and positive ."
32,Hilton Garden Inn New Delhi Saket,"We used to stay several times at this hotel and we were extremely happy with everything, the staff, food at breakfast, service, cleanliness and room service. But in the recent year something has changed to worse. The food at breakfast offers poorer choice, all the familiar faces of staff have gone, room service is not as it used to be, now they changing bedding every other day and not every day. The sheets are not as clean as they used to be. The plates at the restaurant are not clean too. I have suspicion that they may changed the management and the new management is trying to economises on everything in order to show to their bosses that they can manage with less budget. They are trying to manage 5* hotel with 3* budget. We now thinking to stay at our next trip at the neighbouring hotel. It’s a shame because we loved how it used to be at Hilton. It was our best place!"
33,Hilton Garden Inn New Delhi Saket,The hotel was located in the city. The shopping mall was nearby the hotel. The hotel location was crowded. All amenities were working properly in the room. The check in and check out was done on time. The buffet system in food was arranged but I had order in the room. I use activities in the hotel. I had booked the room on the spot.
34,Hilton Garden Inn New Delhi Saket,I had more expectations from a Hilton Hotel. The stay wasn't great. The rooms were not worth the money that they charge for the hotel. The location is great though. Very easily accessible and has a lot of mall nearby to shop and eat as well. But I wouldn't recommend this hotel because you can definitely get a better hotel with these rates.
35,Hilton Garden Inn New Delhi Saket,"I visited there and the food quality was the main point of attraction. I was delighted after seeing the food served by the waiter. Overall 9. 5/10. The most tasty thing was cheese chilly to me. I think it was one of the tastiest of all Delhian. In my notion when one comes to Delhi he must visit this hotel at least once. About hotel rooms, staff helped us a lot, he gave us all the basic requirements like shampoo, soap all these basic things."
36,Hilton Garden Inn New Delhi Saket,"The hotel is at a fair location, good thing is that wifi has good speed and has got good strength. Hotel staff is very polite and always ready to help. They provide cab service to all parts in Delhi but it is a bit expensive. Overall I enjoyed my stay."
37,Hilton Garden Inn New Delhi Saket,The best hotel to have a lovely service with delicious foods and a very good hospitality and the list goes on. I stayed here many times where the ambience was too good. Lovely clean rooms which comforts us well. Great place for business travellers. Waiting for another stay in this hotel.
38,Trend GRD Inn Kalkaji,"I used to travel a lot in my occupation meanwhile, I used to stay in different hotel all along the Country. Generally, I travel alone and some time with my wife and always prefer safety and security as priority. In my opinion this hotel get full marks for their hospitality. Good interior and exterior. Nice food and lot more if you are searching for a place hassel free to stay then you must visit here."
39,Trend GRD Inn Kalkaji,everything was nice
40,Trend GRD Inn Kalkaji,excellent
41,Trend GRD Inn Kalkaji,very good service we r satisfied but wifi only we did not get properly thank u
42,Trend GRD Inn Kalkaji,quantity of the breakfast could be increased to feel the better experience in the morning
43,Trend GRD Inn Kalkaji,it was very nice stay and a very good hotel
44,Trend GRD Inn Kalkaji,Nice staff and nice room but due to location it’s noisy from the street
45,Trend GRD Inn Kalkaji,"Don't book it... Terrible experience, it has low standard of service, no cleanliness at all.. don't book this hotel at all.. they provided me with this pillow that has blood, oooofff.... yukkkk don't want to know where it came from,.. their bedsheets and everything is just too yukk, i went there with family and kids, they had all same rooms and all with smoking.... Terrible experience"
46,Trend GRD Inn Kalkaji,The view around the hotel is good. The room service of hotel and their hospitality is good. Location of the hotel is at a good place that we can easily find it and also near metro station. If you are came to delhi then you can book that hotel.
47,Imperial Villa Lajpat Nagar,"Nice hotel,awesome staff.Value for money. Good and comfortable stay."
48,Imperial Villa Lajpat Nagar,Nice place to stay for business travels..good rooms!
49,Imperial Villa Lajpat Nagar,Nice place to stay for business travels..good rooms!
50,Imperial Villa Lajpat Nagar,"Good experience at Imperial. Clean rooms, good service. Breakfast was good. It's on the highway in the Lajpat Nagar so was able to find it quickly. For lift reception floor is default so better take stares. Overall a good experience."
51,Imperial Villa Lajpat Nagar,"We reach late evening, they give room without water in shower ! Then 45 min we wait when they change room , 10 times call on reception, and they again give room with broken tap in bath and said ok use this ! I understand here in every room something broken and they dont care ! Very bad attitude to guests"
52,Imperial Villa Lajpat Nagar,"Good experience,nice location just next to vinobapuri metro station, front desk manager Mannu very good person to deal with.checkin checkout was really quick"
53,Imperial Villa Lajpat Nagar,"Had a wonderful stay,good spacious rooms,clean bathroom,nice big bathtub, front desk manager Mannu such a good person to deal with"
54,Imperial Villa Lajpat Nagar,"Wonderful stay,staff is very helpful and polite, Mannu thank you very much to book a taxi and take very good care of me"
55,Imperial Villa Lajpat Nagar,"Highly recommended, good location,nice clean room,Mannu very good person,like to visit again for sure"
56,Imperial Villa Lajpat Nagar,In connection with a WHO meeting I stayed in the hotel. The front office is so friendly and assisting so cordially. Room service was good. Food was excellent and taken care very well despite the number. Nothing was negative I could experience. Everything was excellent including Airport transfer.
57,Imperial Villa Lajpat Nagar,I like to visit here because there is so many pleasure and it's parking service is so good. There is disciplined staff and it's service attract me to visit again and again. It is so good and it is in front of the road. It's all service is fast
58,Imperial Villa Lajpat Nagar,I stayed in this hotel for one day. I got a good deal and it was within my budget. Rooms are very nice. Staff is very friendly. The complimentary breakfast that they offer is delicious. It is located just on the main road. The metro station too is near by. So finding a conveyance to travel here and there was also not a problem
59,Imperial Villa Lajpat Nagar,"As I am new to Delhi, on my friend request I came to Delhi but I don't know which hotel is good he told me go this Imperial one, he has good experience during his office stay, so I went for this one. Believe me it was really a great experience. Food was awesome with great infrastructure and awesome room facility with good service staff."
60,Conclave Comfort East Of Kailash,"Beautiful interior, service is very good, bed is very comfortable... everything is extremely good."
61,Conclave Comfort East Of Kailash,"Nice hotel. All staff behavior nice,family easily have stay. Nice environment."
62,Conclave Comfort East Of Kailash,"A real comfort, with very decent staff and that too on reasonable rates every other required place near to to hotel. Neat and clean."
63,Conclave Comfort East Of Kailash,"It's a very basic hotel. Room size is decent. Bed and other furniture was practical and comfortable. However bathrooms were very dated"", old looking. Bath fittings and fixtures looked dirty and old. Moreover there were cockroaches in the the bathroom. We stayed here at 46 degree Celcius temperature, but thankfully they had power backup and AC was working. Pricing was very attractive. Located in a decent area closer to Greater Kailash. We paid 3.5k for 2 rooms, which is a steal for Delhi"
64,Conclave Comfort East Of Kailash,"1) cockroaches in the room 2) limited drinking water provided 3) AC leaks water - a lot of water. Enough to make one side of the bed damp 4) I was refused a check-in as they wanted me to pay advance (it was firm sponsored) So, yes. Their rating is so low for a reason. Please stay away from this place."
65,Conclave Comfort East Of Kailash,Hotel Is Good And Service Is Also Much Better Than Others If I Can Go Another Time IMust Stay There
66,Conclave Comfort East Of Kailash,A Neat And Clean Budgethotel Having All Stuffs Arehyigenic Co Operative Staffs Polite Manngement Quality Of Food Also Natural And Clean Near To Kailash Colony Metro I L Wish To Stay At This Hotel Again In Future
67,Conclave Comfort East Of Kailash,They Have The Most Amazing Rooms Especially The Corner Ones It’S Massive !!!Very Hospitable And Polite Staff And Front DeskWe Have Gone There Twice Now And Each Time It Was A Pleasurable ExperienceBook Early Though This Place Is Much Sought After
68,Conclave Comfort East Of Kailash,I'Ve Been Staying In This Hotel For A Few Business Trips This Hotel Is Well In Budget With Expected Service Quality Standards Hosts Mr Rajkumar & Ms Preet Are Pleasing And Very Accommodating People Great Location With Budget Eateries Around No Concerns Regarding Travel Modes Too
69,Conclave Comfort East Of Kailash,The Experience Was Just Okay The Staff Was Cooperative But There Were A Few Times When I Was Dissatisfied But Overall The Experience Was Okay I Would Recommend To First Look For Other Options And Then See Towards This Particular FacilityThank You!
70,Conclave Comfort East Of Kailash,Good environment
71,Conclave Comfort East Of Kailash,It was a nice stay and the services were up to the mark..i was stucked in Delhi as I lost my mobile..the Fab hotel coordinator and the reception were amazing and they helped me in every way to tackle the lost mobile issue....love u guys and obviously the stay was awesome all I can say is you get what is promised during the booking....Highly recommend everyone to stay
72,Conclave Comfort East Of Kailash,"Good value for moneyStaffs are nice, polite and humble.Look for Mr. Dogra when you come to stay, all your needs will be taken care."
73,Conclave Comfort East Of Kailash,Nice n comfortable stay.... room n bedding was neat n clean...so was the wash room... room service was prompt.
74,Conclave Comfort East Of Kailash,"Experience in hotel was good. Room service was also good and the attitude of room service boy was good, dinner was delicious. Room arrangement like bed system and decoration was good. Hotel is situated near Metro station which is communicable easily."
75,Conclave Comfort East Of Kailash,"This is a good hotel and they will give you good service. Receptionists are good, they always wish you whenever you leave and enter in the hotel. You should book through OYO Rooms to get discounts on rooms."
76,Conclave Comfort East Of Kailash,I visited this hotel during my official meeting. I had a very nice and comfortable stay over here. The hotel facilities were very much impressive. The services here were just wonderful. I like the rooms here as my room was very big and spacious. It had everything in it. The hotel serve good food as it was very good in taste. I like the grandeur of the hotel. The hotel has nice front office and also the location of the hotel was good.
77,Conclave Comfort East Of Kailash,"I had visited this hotel during my official stay at Delhi. Systematic staff with very less intervention to customers. Very good customer centrality. Delhi food is always something people love about and the chefs here don't disappoint either. Rooms are comfortable. If you are around South Delhi area and looking a place to crash at, I would recommend this."
78,Park Inn by Radisson New Delhi IP Extension,Good hotel for corporate get together and parties. Food is good. Staff is gentle and polite. Easy parking. Located in isolated place
79,Park Inn by Radisson New Delhi IP Extension,Great place for Corporate stays. Food taste and spread was just above average. Rooms are good. Don't go by the external appearance of the Hotel.
80,Park Inn by Radisson New Delhi IP Extension,"Excellent staff is the power of this beautiful hotel. I always find very good service there. Especially, Mr. Amit, one of the member of your main team seems always ready to arrange everything in time to provide whatever service we require, as far as our official tour is concerned. We find a very comfortable stay in your Hotel Park Inn by Radisson."
81,Park Inn by Radisson New Delhi IP Extension,It was excellent stay. Room was clean and tidy. Buffet breakfast spread was also good.
82,Park Inn by Radisson New Delhi IP Extension,"Good part is that one can easily find place here. Food is generally good but with limited options. Maintenance is not too great, with ACs not too effective, mosquitoes, high humidity inside the premises. Seating in reception needs to be upgraded. Many times staff is busy amongst themselves but are helpful if they spot you somehow"
83,Park Inn by Radisson New Delhi IP Extension,"Hotel Park Inn By Radisson IP Extension is one of best hotel in East Delhi, I visited one time with my relative and observed that all facilities like Pool & wellness, Fitness center, cleaning services, dry cleaning laundry, outdoor facilities, activities, pick up drop, staff member behavior, variety of food etc is good The location of Hotel is okay, It's 4KM away from Akashar-Dham Temple, 1KM from Anand Vihar Railway-Bus-metro stand, 3-4 Mall also"
84,Park Inn by Radisson New Delhi IP Extension,I stayed in Hotel Park Inn By Radisson IP Extension in the month of January 2017. It was my holiday trip with friends. I would rate the destination as good. The hotel location was good with necessary available at the nearest. I would rate the appearance of the hotel as good as it is very clean. Hotel front office was good since they are always available with correct information. I booked this hotel via online.
85,Park Inn by Radisson New Delhi IP Extension,I had visited this hotel for business purpose. The hotel was located inside the city. The appearance of the hotel was fine. The room was fine in the hotel. The gym was available in the hotel. The parking facility was good at the hotel.
86,Park Inn by Radisson New Delhi IP Extension,The hotel was nice. The hotel was located far away from the city. The appearance of the hotel was good. There was no delay in check in and checkout. The service of the hotel was good. The food quality was very good in the hotel. The complimentary breakfast was not provided by the hotel. The activities were arranged by the hotel. The WiFi facility was provided by the hotel. I had visited this hotel with my family for personal work. I would recommend it.
87,Park Inn by Radisson New Delhi IP Extension,"Overall, it was a wonderful stay over there & we are overwhelmed with the quality of room & room service. Hotel is very good and their services also. Hotel staff was to good we spend one night over there and that was wonderful experience over there quality of food was very good we liked all the services over there."
88,Park Inn by Radisson New Delhi IP Extension,Good hotel with very good food of all Indian and continental varieties. Local transportation to/from this hotel is very difficult as it is located in remote place Service is too good. South Indian foods are prepared with perfection and served. Staff and the executives are very polite and courteous.
89,Park Inn by Radisson New Delhi IP Extension,"If you are looking for a perfect place for any of your family function then this is place to go for I recently booked this place for my brother's ring ceremony and really had an unforgettable experience The event was managed well by them above our expectations, we didn't have to worry for any single thing The rooms they provided were well furnished and well maintained The decorations done by them were so beautiful Food was terrific, really yummy,"
90,Park Inn by Radisson New Delhi IP Extension,"We are here during my visit to New Delhi, Akshardham and New Delhi Sightseeing . I was here for 2 days, but enjoyed a lot staying here. The location is near to Akshardham and it has a very friendly staff. The rooms are world class with all modern facilities including WiFi. Must include breakfast during your stay. You can love to stay here. Only issue I was faced was hot water. Go for this hotel, must recommended !."
91,Aaron Castle Safdarjung Hospital,Ac was not proper working
92,Aaron Castle Safdarjung Hospital,everything was good
93,Aaron Castle Safdarjung Hospital,excellent..
94,Aaron Castle Safdarjung Hospital,stay was good
95,Aaron Castle Safdarjung Hospital,services & coustmer support not good response
96,Aaron Castle Safdarjung Hospital,As per my experience Ronald inn hotel much better than others
97,Aaron Castle Safdarjung Hospital,hotel is good as per location
98,Aaron Castle Safdarjung Hospital,"good hotel . location is approachable . nice staff . food is good . ambience is good . location , newly renowated rooms "
99,Aaron Castle Safdarjung Hospital,Great place to stay i m satisfied
100,Aaron Castle Safdarjung Hospital,Rooms are renovated recently. Breakfast was really delicious.
101,Aaron Castle Safdarjung Hospital,friendly
102,Aaron Castle Safdarjung Hospital,all facilities good
103,Aaron Castle Safdarjung Hospital,stay was very good....everything is very good
104,Aaron Castle Safdarjung Hospital,Comfortable and Quite Place..My experience is to good. Thanks to Ronald In team
105,Aaron Castle Safdarjung Hospital,"This hotel is Top comfortably in delhi. So I suggest all visitors r stay here.24x7 room service is available. fast service. All too good.Hotel stuff r frnly, all goods such a 5star hotel."
106,Aaron Castle Safdarjung Hospital,"He hotel is well located, close from Railway Station. lots of shops and restaurants in this area.but the most of this place, is the travel desk, Ravi is very kind and helpfull.he do the best for you, to spend a good time in India."
107,Aaron Castle Safdarjung Hospital,Excellent service. I always choose my stay here. It is very safe to stay here even alone. The staff is appreaciable. Please try staying here someday. You will surely enjoy living here for a day or two.
108,Aaron Castle Safdarjung Hospital,I travelled to delhi for my business purpose regularly...but this was the first time i stayed in hotel Fabhotels and man i was very much impressed...write from the word go i checked in late night.. Mr. Porushtum at the reception was a really good person to meet.. He alloted me good room on the third floor which was neet and clean.. Else everything was really great..location is great easily accessible...i stayed for 3night's abd would highly recommend this place to everyone.
109,Aaron Castle Safdarjung Hospital,One of my favourite hotel in delhi location is cool staff is freindly behaviour neat and clean rooms... Fabhotels ok...means things will be better from here..love to visit again.
110,Aaron Castle Safdarjung Hospital,The Hotel was a nice surprise considering the surroundings. Neat and well furnished rooms. No nonsense staff and good food. They have shifted it to first floor. Will definitely stay the next time i'm Delhi.
111,Trend Nights Inn,Nice rooms
112,Trend Nights Inn,awesome Hotel
113,Trend Nights Inn,I had a great time. The staff was really polite and cooperative. Full recommendation.
114,Trend Nights Inn,fantastic hotel rooms.
115,Trend Nights Inn,service was good..
116,Trend Nights Inn,Staff Behaviour is not so much good. Breakfast is not provided and also outside foods not allowed in hotel rooms
117,Trend Nights Inn,Water Leakage in Washroom.Washroom Flush not working.Lots of insects in the room.Overall very bad experience.
118,Trend Nights Inn,bed sheet is not clean.
119,Trend Excellent,very good hotel...fully satisfied...nice staff....worth of money
120,Trend Excellent,"Thanks, good accommodation."
121,Trend Excellent,Well hotel staff is gud but cz of oyo i have to wait for 45min just to check in
122,Trend Excellent,Overall a very bad experience worst food you can ever have lights were broken in washroom uncomfortable bed if you are paying 2000 for 1 room you donot expect such kind of service
123,Trend Excellent,Hotel receptionist is rude and not cooperative and helpful.
124,Trend Excellent,good hotel and good staff or clean room
125,Trend Excellent,Everything was good. affordable and clean. for me as my meetings were nearby so for me location was excellent. I recommend this hotel to everyone.
126,Trend Excellent,Ohk.. So first of all.. The oyo people are idiots.. They don't even know the tariff rates of the hotel rooms..I reached at the hotel reception.. There was so rush like.. They are giving away the rooms for free.. Then i got to know that they all were having some tariff rates issue.. And same was with me.. I paid 1400 for the rum. Online.. But the hotel manager said the rrom tariff is 2200 and u have to call service center of oyo.. Then i called them.. After a huge conversation with 2 -3 person on call.. they said we will adjust the money after approval.. And call u back.. I was standing and waiting there like a begger.. They didn't called.. Then i did it by my own.. Nd asked the status.. They said the.. Money is already adjusted.. Means how service they are offering.. That they can't even call when the fault is from there side..The hotel staff was supporting..But for oyo i will give 0 ratings.. I appreciate that they adjusted money.. But still they wasted my time.. And irritate me to a
127,Trend Excellent,"There are insects and cockroaches inside the room, TV remote was not working properly, water leaking from the ceiling in bathroom.overall not worth for the money they charged."
128,Trend Excellent,totally worst experience
129,Trend Excellent,"Denied the room check in mentioning their tariff has changed to 2000. As i booked the room at 1413 through Oyo app they denied to give me the room. This full drama happened at midnight 12.30. Even Oyo assist could not resolve this issue, when i called them they kept transferring the phone to someone else but no one answered it and it was always on hold.As i have no choice at midnight i had to pay 1900 to check in."
130,Trend Excellent,I had the worst experience in this hotel. I would suggest no one to book this hotel. They give me a damp and room filled with smoke. They don't provide towels. You have to call at least 5 times when someone in reception will receive your call. I need a refund. It was that horrible!
131,Trend Excellent,washroom was dirty and broken fixtures..
132,Trend Excellent,worst service..
133,Trend Excellent,Amazing food chef is awesome can go again for food
134,The Daffodils Connaught Place,"This hotel is located at an excellent place, right in the outer circle of Connaught Place. The rooms are very old, showers stink. The bed linens are worn out. It's just a place to choose when you run out of options for a stay in CP. I think they can't help with the old construction, may be they are maintained that way. Feels like I'm somewhere in Viennese with old buildings around. I think one should experience this too. Go for it if you have com"
135,The Daffodils Connaught Place,It was a decent place to stay. The hotel was conveniently located. There was no difficulty in finding the hotel. I had food from the hotel. The appearance of the hotel was good. They provide both veg and non-veg food. The quality of the food was good. The room was okay. All the basic amenities provided in the room were working fine. There were no activities organized by the hotel. Sightseeing trip was organized by the hotel. The hotel service was
136,The Daffodils Connaught Place,"Came here for a quick overnight stay, planning to comeback here for a weekend. Nice rooms and drinks are not overpriced. Staff is friendly and helpful in all aspects. Free like fun place to spend a weekend. The bed was big and spacious and the bathroom is fancy. Can't wait to come back."
137,The Daffodils Connaught Place,I visited hotel with my family and the hotel was really beautiful. Managers and the staff were really helpful. Rooms were neat and clean with beautiful curtains. It is easily approachable by metro. Food was also very much delicious with a lot of variety in it. It was a bit expensive but it was worth spending.
138,The Daffodils Connaught Place,"Pools was very big and nice. The hotel is neat and clean, it was as big as in the photograph. I like sleeping in the room, it was very big and beautiful and sweet. The quality of television was HD and big 32-40 inches TV. All the cable option were available. The staff was courteous and friendly, the staff handling all requests were on the time. Housekeeping were very fast in service and everything was in good manner. You should book this hotel be"
139,The Daffodils Connaught Place,The stay at this hotel was comfortable and the location was convenient and easy to find. The staff members at the hotel were professional and helpful in service. The ambience of the hotel was very good and room allotted to me was well maintained with required amenities. There was no delay while checking in or checking out. The overall experience at this hotel was excellent and is worth for money one spends. I recommend this hotel for other travel
140,The Daffodils Connaught Place,Good Attentive Staff Jitender And Abdul Were Quick To Serve
141,The Daffodils Connaught Place,Hotel is good and excellent customer service.
142,The Daffodils Connaught Place,In The Heart Of Cannaught Place Staff Was Very Friendly And Helpful
143,The Daffodils Connaught Place,Stayed there with my parents for one night.The hotel is very centrqlly located but it is very hard to find.there should be some sign board on the main road.The 1st floor room has many lizards and should be checked.Room no. 101 was very good.The drain seems to be checked for any blockages.Staff is very helpfull and goodFood is also nice.Apart from few things the hotel is very good place to stay in good location and value for money.
144,The Daffodils Connaught Place,Excellent experience and very good staff.
145,The Daffodils Connaught Place,I Liked The Hotel Very Much And The Staff Were Very Cordial And Courteous They Have Been One Of The Finest People And The Hotel Was Also Very Good Only Problem Is The Approach But That Is Manageable In A Posh Locality Like Connaught Place The Rooms Are Very Good And The Service Is Very Good Too I Will Recommend The Hotel For Business Travel
146,The Daffodils Connaught Place,Location Is Quite Good Room Was Clean And Hygienic Staff Was Really Good
147,The Daffodils Connaught Place,"Good rooms, excellent service. Managers are very greetful."
148,The Daffodils Connaught Place,Awesome hotel and facilities.
149,The Daffodils Connaught Place,The Staff Is Very Nice And It'S Pleasant Room Service With Comfortable And All Services And Clean Rooms
150,The Daffodils Connaught Place,Both The Manager And The Service Boy Were Excellent They Made The Stay A Comfortable One And Also Assisted In Every Possible Way The Service Boy Is Resourceful And Helps Out Of The Way
151,The Daffodils Connaught Place,Location Of The Hotel Being In The Middle Circle Of Connaught Place Being The Highlight Of The Hotel The Room Is Cozy Prompt Room Service Is The Highlight Of My Stay Except The Back Entrance That Makes It Lose It Shine Rest It Is The Best Place To Stay Even If You Are A Single Woman Travelling For Official Purpose
152,The Daffodils Connaught Place,Our stay at daffodils connaught place was awesome.The place is beautiful and gives a comfortable stay.all staff was very coopretive.hostin you again next trip.
153,The Daffodils Connaught Place,"Scarcity of water a major bottleneck for the hotel. Otherwise, staying at The Defodile was wonderful experience"
154,Olivia Suite New Delhi Airport,"Location good for travellvers .Breakfast qaulity good. food was excellent, very courteous and polite staff."
155,Olivia Suite New Delhi Airport,"Clean and comfy, perfect to sleep well and safely when you have long lay overs."
156,Olivia Suite New Delhi Airport,"Staff in the hotel were really friendly, even the chef came out to say hello and ask about the food."
157,Olivia Suite New Delhi Airport,"Rooms were clean. The room cleaning staff, Mr. Ajeet was very cooperative person."
158,Trend Natraj Yes Please Paharganj,"Nice clean hotel. My room was tiny, but cozy. Breakfast and room service was very good. The only downside- walls are quite thin and I could hear lots of noise from outside. Though by the night everything was quiet. Overall very pleasant experience and budget friendly."
159,Trend Natraj Yes Please Paharganj,Decent clean place. Restaurant is not exactly great. Breakfast is a scam. They barely give u anything worth filling ur stomach. Staff is cooperative and courteous. One star extra for the support the staff extended in helping us at odd hours arranging everything from food to vehicles.
160,Trend Natraj Yes Please Paharganj,"I was surprised: very nice hotel in not so nice district. Rooms equipped with powerful air conditioner, nice furniture, TV, water heater and so on. Receptions desk works 24/7. You can change money there."
161,Trend Natraj Yes Please Paharganj,"Nice place to stay in this Hotel. Hotel staff is good. Good rooms and good ambitious in reception area. Good for Married couple, Foreigner Traveller. Solo Traveller. No Alcohol is allowed. Food served from restaurant is quite good."
162,Trend Natraj Yes Please Paharganj,"Great place to stay at a good price point in Delhi. A small hotel with friendly staff. Simple and clean rooms with everything you need. Good location without being surrounded by other tourists. Staff were happy to look after our extra bags while we did a tour, park our motorbikes outside, get laundry done all with a smile."
163,Trend Natraj Yes Please Paharganj,good to have
164,Trend Natraj Yes Please Paharganj,All Good including nice warm people.
165,Trend Natraj Yes Please Paharganj,"Good hotel, It was a personal trip, hotel location was excellent, the front office, room and service were very good. The bathroom was not so clean, I have complained about it but they didn't respond to that and the hotel appearance was good and it is located in the heart of the city. I would like to suggest other travellers visit that hotel."
166,Trend Natraj Yes Please Paharganj,it was awesome stay in the room facilities properly
167,Trend Natraj Yes Please Paharganj,"Nice Experience, Suggestion: Microwave oven can be added in the room"
168,Trend Natraj Yes Please Paharganj,nice and cordial staff... enjoyed my stay here!
169,Trend Natraj Yes Please Paharganj,very good service
170,Trend Natraj Yes Please Paharganj,Small improvements in room for better customer experience.
171,Trend Natraj Yes Please Paharganj,"pillow is very hard, chair and table cloth to be clean, handwashing area washbasin very dirty"
172,Trend Natraj Yes Please Paharganj,Bathroom should have some freshener
173,Trend Natraj Yes Please Paharganj,perfect
174,Trend Natraj Yes Please Paharganj,Everything was fine except buffet is missing otherwise I enjoyed my stay at Treebo Terminus
